SUBJECT_ID,SUBJECT,OBJECT_ID,OBJECT,SUGGESTION,DECISION
196338014,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Clinician,196338196,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Incorporation,remove,a
196338017,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Code-lists,196338029,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Common,remove,a
1146490418,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379,1146490417,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_bronchus_or_lung_unspecified_C0348343,remove,a
196338299,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Plan,196338157,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Governance,remove,a
475535,http://a.com/ontology#XML_family_of_technologies,475516,http://a.com/ontology#XML_Extensible_Markup_Language,remove,a
72222535,http://creationwiki.org/Special:URIResolver/Category-3ABible,72222641,http://creationwiki.org/Special:URIResolver/Category-3AIsrael,remove,a
196338292,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Patient%20record,196338152,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#General%20practitioners,remove,a
118852048,http://dbpedia.org/resource/Distilled_beverages,118852082,http://dbpedia.org/resource/Distillers_companies,remove,a
196338322,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Programme,196338049,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Consultant,remove,a
1212289713,http://www.w3.org/2000/10/rdf-tests/rdfcore/rdfs-no-cycles-in-subClassOf/test001#A,1212289714,http://www.w3.org/2000/10/rdf-tests/rdfcore/rdfs-no-cycles-in-subClassOf/test001#B,remove,a
196338053,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Conventions,196338029,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Common,remove,a
126034687,http://dbpedia.org/resource/Organizations_related_to_Mormonism,123392858,http://dbpedia.org/resource/Latter_Day_Saint_denominations,remove,a
196338047,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Consent,196338319,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Principles,remove,a
196338145,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Format,196338152,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#General%20practitioners,remove,a
196338407,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Southern%20provinces,196338364,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Report,remove,a
1117099841,http://purl.org/obo/owl/PATO#PATO_0000140,1117099837,http://purl.org/obo/owl/PATO#PATO_0000132,remove,a
196338442,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Transferring,196337955,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Adherence,remove,a
196338050,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Context,196338054,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Core,remove,a
1171019944,http://umbel.org/umbel/rc/Ascomycota_Division,1171041688,http://umbel.org/umbel/rc/Yeast,remove,a
196338084,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Dhis,196338405,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Software%20team,remove,a
196337996,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Care,196338362,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Remote,remove,a
72222507,http://creationwiki.org/Special:URIResolver/Category-3AActinide,72222562,http://creationwiki.org/Special:URIResolver/Category-3AChemistry,remove,a
196338297,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Physical%20security,196338412,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Standard,remove,a
125118440,http://dbpedia.org/resource/Mizrahi_Jews_topics,122667026,http://dbpedia.org/resource/Judeo-Islamic_topics,remove,a
196338394,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Security,196338225,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Liability,remove,a
121867111,http://dbpedia.org/resource/Incapacitating_agents,126839522,"http://dbpedia.org/resource/Psychedelics,_dissociatives_and_deliriants",remove,a
196338019,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Codes,196338085,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Diagnose,remove,a
196338265,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Nhs%20crs,196338288,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Patient,remove,a
196338406,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#South%20africa,196338057,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Country,remove,a
196338070,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Data%20transfer,196338360,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Reliability,remove,a
196338129,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Eprs,196338332,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Purpose,remove,a
196338442,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Transferring,196338073,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Databases,remove,a
